"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	133	"C:\Hannah's FYP\Black15_neu.jpg"	"love"	"Black"	"eyes"	"Pos"	122	462	2	0	1	"Incon"
2	134	"C:\Hannah's FYP\White15_neu.jpg"	"beauty"	"White"	"eyes"	"Pos"	222	581	2	0	1	"Con"
2	135	"C:\Hannah's FYP\Black16_neu.jpg"	"success"	"Black"	"eyes"	"Pos"	122	2060.18353827802	2	0	1	"Incon"
2	136	"C:\Hannah's FYP\Black5_neu.jpg"	"pest"	"Black"	"forehead"	"Neg"	111	646	1	0	1	"Con"
2	137	"C:\Hannah's FYP\White14_neu.jpg"	"love"	"White"	"eyes"	"Pos"	222	585	2	0	1	"Con"
2	138	"C:\Hannah's FYP\Black9_neu.jpg"	"despair"	"Black"	"eyes"	"Neg"	121	562	1	0	1	"Con"
2	139	"C:\Hannah's FYP\White10_neu.jpg"	"vacation"	"White"	"eyes"	"Pos"	222	605	2	0	1	"Con"
2	140	"C:\Hannah's FYP\White24_neu.jpg"	"love"	"White"	"nose"	"Pos"	232	2060.18353827802	2	0	1	"Con"
2	141	"C:\Hannah's FYP\White5_neu.jpg"	"cockroach"	"White"	"forehead"	"Neg"	211	732	1	0	1	"Incon"
2	142	"C:\Hannah's FYP\White17_neu.jpg"	"disgust"	"White"	"nose"	"Neg"	231	519	1	0	1	"Incon"
2	143	"C:\Hannah's FYP\White20_neu.jpg"	"cockroach"	"White"	"nose"	"Neg"	231	592	1	0	1	"Incon"
2	144	"C:\Hannah's FYP\Black2_neu.jpg"	"success"	"Black"	"forehead"	"Pos"	112	521	2	0	1	"Incon"
2	145	"C:\Hannah's FYP\Black5_neu.jpg"	"love"	"Black"	"forehead"	"Pos"	112	933	1	1	1	"Incon"
2	146	"C:\Hannah's FYP\Black21_neu.jpg"	"disgust"	"Black"	"nose"	"Neg"	131	1684	1	0	1	"Con"
2	147	"C:\Hannah's FYP\White22_neu.jpg"	"romance"	"White"	"nose"	"Pos"	232	503	2	0	1	"Con"
2	148	"C:\Hannah's FYP\White19_neu.jpg"	"despair"	"White"	"nose"	"Neg"	231	896	1	0	1	"Incon"
2	149	"C:\Hannah's FYP\Black14_neu.jpg"	"beauty"	"Black"	"eyes"	"Pos"	122	1180	2	0	1	"Incon"
2	150	"C:\Hannah's FYP\Black20_neu.jpg"	"vacation"	"Black"	"nose"	"Pos"	132	536	2	0	1	"Incon"
