"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"Subnum"	"Congruent"
2	22	"C:\Hannah's FYP\Black24_neu.jpg"	"poison"	1	"nose"	1	NA	131	436	1	0	26	1
2	23	"C:\Hannah's FYP\Black1_neu.jpg"	"vomit"	1	"forehead"	1	NA	111	515	1	0	26	1
2	24	"C:\Hannah's FYP\White18_neu.jpg"	"vomit"	2	"nose"	1	NA	231	452	1	0	26	2
2	25	"C:\Hannah's FYP\White12_neu.jpg"	"garbage"	2	"eyes"	1	NA	221	467	1	0	26	2
2	26	"C:\Hannah's FYP\Black22_neu.jpg"	"cockroach"	1	"nose"	1	NA	131	478	1	0	26	1
2	27	"C:\Hannah's FYP\Black23_neu.jpg"	"paradise"	1	"nose"	2	NA	132	513	2	0	26	2
2	28	"C:\Hannah's FYP\Black10_neu.jpg"	"joy"	1	"eyes"	2	NA	122	526	2	0	26	2
2	29	"C:\Hannah's FYP\White7_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	538	1	0	26	2
2	30	"C:\Hannah's FYP\White10_neu.jpg"	"love"	2	"eyes"	2	NA	222	509	2	0	26	1
2	31	"C:\Hannah's FYP\White13_neu.jpg"	"despair"	2	"eyes"	1	NA	221	530	1	0	26	2
2	32	"C:\Hannah's FYP\Black10_neu.jpg"	"vacation"	1	"eyes"	2	NA	122	566	2	0	26	2
2	33	"C:\Hannah's FYP\Black20_neu.jpg"	"paradise"	1	"nose"	2	NA	132	492	2	0	26	2
2	34	"C:\Hannah's FYP\Black24_neu.jpg"	"vacation"	1	"nose"	2	NA	132	518	2	0	26	2
2	35	"C:\Hannah's FYP\Black21_neu.jpg"	"vomit"	1	"nose"	1	NA	131	551	1	0	26	1
2	36	"C:\Hannah's FYP\Black18_neu.jpg"	"cockroach"	1	"nose"	1	NA	131	897	1	0	26	1
2	37	"C:\Hannah's FYP\White16_neu.jpg"	"sewage"	2	"eyes"	1	NA	221	565	1	0	26	2
2	38	"C:\Hannah's FYP\Black7_neu.jpg"	"poison"	1	"forehead"	1	NA	111	654	1	0	26	1
2	39	"C:\Hannah's FYP\White20_neu.jpg"	"disgust"	2	"nose"	1	NA	231	576	1	0	26	2
2	40	"C:\Hannah's FYP\Black1_neu.jpg"	"pest"	1	"forehead"	1	NA	111	594	1	0	26	1
2	41	"C:\Hannah's FYP\Black18_neu.jpg"	"despair"	1	"nose"	1	NA	131	667	1	0	26	1
2	42	"C:\Hannah's FYP\Black16_neu.jpg"	"disgust"	1	"eyes"	1	NA	121	497	1	0	26	1
2	43	"C:\Hannah's FYP\White19_neu.jpg"	"pest"	2	"nose"	1	NA	231	580	1	0	26	2
